,Unnamed: 0,name,country,city,town,address,total space (sqft),colocation space (sqft),total power (MW),latitude,longitude
2854,2961,Equinix,france, 93200 Saint-Denis,114 Rue Ambroise Croizat,,40634,,5,48.93346144,2.354968685
2855,2962,Lumen,usa, OH, Akron,110 South Arlington Street,12000,6000,,40.2253569,-82.6881395
2856,2964,Struxture,canada, ON, Scarborough,20 Pullman Court,40000,,10,50.000678,-86.000977
2857,2965,US Signal,usa, IL, Oak Brook,810 Jorie Blvd,,,,40.0796606,-89.4337288
2858,2966,Equinix,usa, GA, Norcross,2836 Peterson Place Northwest,40949,21337,,32.3293809,-83.1137366
2859,2967,Hivelocity,india, Maharashtra, Navi Mumbai, Rabale,,,,18.9068356,75.6741579
2860,2968,Digital Fortress,usa, NJ, Piscataway,201 Centennial Avenue,96573,23700,5,40.0757384,-74.4041622
2861,2969,Equinix,netherlands, 7521 PE Enschede,Auke Vleerstraat 1,,31215,12917,2700,52.23675776,6.84917858
2862,2970,Digital Realty,usa, AZ, Chandler,2121 South Price Road,519000,508173,54,34.395342,-111.763275
2863,2971,Lumen,usa, VA 22102, McLean,1755 Old Meadow Road,62904,15535,,41.838558,-71.425049
2864,2972,Digital Realty,usa, MA, Bedford,55 Middlesex Turnpike,106000,48000,10,18.3414575,-64.9335173
2865,2973,Digital Realty,usa, VA, Ashburn,44521 Hastings Drive,348000,176200,34.5,37.1232245,-78.4927721
2866,2974,Digital Realty,usa, CA, Santa Clara,1725 Comstock Street,39643,39643,6.2,36.7014631,-118.755997
2867,2975,QuadraNet,usa, CA, Los Angeles,6171 West Century Boulevard,80000,22000,2.2,36.7014631,-118.755997
2868,2976,Lumen,usa,AL, Birmingham,401 6th Street North,10000,4512,,,
2869,2977,Evocative,usa, TX, Plano,1221 Coit Road,111000,52000,12,31.2638905,-98.5456116
2870,2978,Netrality Data Centers,usa, MO, St. Louis,900 Walnut St,120586,27000,13,33.512691,131.304743
